user_id,age,gender,country,premium_user,subscription_months,monthly_subscription_fee,payment_method,daily_listening_hours,songs_played_per_day,session_duration,listening_days_per_week,skip_rate,playlist_count,liked_songs,search_frequency,shares_per_month,followed_artists,last_active_days,device_type,notifications_clicked,ads_clicked,monthly_spending,premium_renewals,lifetime_value,engagement_score,retention_score,satisfaction_score,churn
45,27,Male,Brazil,1,2,4.99,Debit Card,0.89,67,165.15,1,11.67,14,2038,34,29,94,16,Mobile,61,43,4.99,17,9.98,40.98,13.48,98.62,0
46,28,Male,India,0,0,0.0,Free Plan,0.72,44,174.58,4,84.18,7,3850,13,27,285,2,Mobile,36,4,0.0,0,0.0,63.45,35.2,61.51,0
47,31,Female,Germany,0,0,0.0,Free Plan,4.79,150,196.9,7,71.38,31,3762,37,0,22,14,Mobile,24,16,0.0,0,0.0,100.0,57.59,88.26,1
48,19,Female,Canada,1,39,14.99,Google Pay,7.53,139,176.68,2,13.93,14,2035,93,6,156,5,Mobile,96,36,14.99,22,584.61,100.0,88.32,100.0,0
49,21,Female,India,1,10,4.99,Google Pay,6.61,163,94.02,5,12.75,14,3228,7,4,156,14,Web Player,75,44,4.99,1,49.9,100.0,75.17,100.0,0
50,53,Female,Canada,1,10,9.99,Google Pay,3.33,51,72.66,3,15.34,12,3005,81,24,110,7,Web Player,42,11,9.99,11,99.9,74.85,59.75,100.0,0
51,21,Male,France,0,0,0.0,Free Plan,5.28,96,92.99,1,42.41,28,3533,39,8,213,10,Tablet,0,45,0.0,0,0.0,100.0,72.28,100.0,0
52,43,Female,Germany,0,0,0.0,Free Plan,7.38,67,78.19,3,59.13,20,3502,72,20,136,9,Web Player,56,25,0.0,0,0.0,100.0,68.76,100.0,0
53,42,Female,Australia,0,0,0.0,Free Plan,2.91,166,220.84,3,3.28,23,4120,70,19,197,20,Web Player,32,48,0.0,0,0.0,91.65,60.67,100.0,1
54,39,Female,India,1,7,4.99,PayPal,3.78,152,102.44,4,53.51,39,4422,0,12,214,18,Tablet,55,18,4.99,16,34.93,100.0,56.95,92.15,0
55,47,Other,India,0,0,0.0,Free Plan,5.77,198,130.6,1,40.08,37,946,62,3,263,28,Tablet,2,31,0.0,0,0.0,98.81,44.79,100.0,0
56,36,Female,India,1,23,14.99,PayPal,6.75,139,159.85,1,55.17,2,2490,71,21,248,14,Mobile,66,32,14.99,14,344.77,100.0,62.45,100.0,0
57,52,Female,France,1,16,4.99,Google Pay,1.8,59,215.64,7,63.32,32,2198,84,18,111,28,Tablet,35,28,4.99,17,79.84,61.53,0.53,77.34,1
58,22,Other,South Korea,1,3,14.99,PayPal,6.68,41,101.21,6,36.28,43,3577,85,11,279,16,Desktop,29,45,14.99,22,44.97,100.0,65.12,100.0,0
59,34,Female,UK,1,9,9.99,Apple Pay,3.34,26,201.21,4,13.23,28,3180,97,22,292,10,Desktop,17,20,9.99,9,89.91,93.8,74.83,100.0,0
60,55,Female,USA,1,38,9.99,PayPal,1.81,110,37.9,3,90.0,5,4826,39,1,267,12,Mobile,52,6,9.99,9,379.62,82.21,37.21,64.05,1
61,43,Male,South Korea,1,2,9.99,UPI,1.64,185,146.74,2,6.82,10,2058,35,16,186,6,Web Player,98,33,9.99,22,19.98,51.28,40.23,100.0,0
62,39,Male,France,0,0,0.0,Free Plan,0.44,152,43.07,4,5.14,44,481,72,25,72,8,Web Player,16,0,0.0,0,0.0,34.81,21.27,99.63,0
63,57,Female,Japan,0,0,0.0,Free Plan,6.59,112,168.25,6,0.53,11,2322,43,26,16,9,Mobile,54,48,0.0,0,0.0,95.42,81.76,100.0,0
64,33,Other,France,1,17,14.99,Apple Pay,5.6,29,217.29,4,22.12,25,488,25,14,287,9,Web Player,70,16,14.99,22,254.83,87.73,67.59,100.0,0
65,39,Female,Brazil,0,0,0.0,Free Plan,5.64,141,50.26,2,42.18,28,3294,93,19,102,16,Desktop,30,23,0.0,0,0.0,100.0,63.35,100.0,0
66,51,Other,Canada,1,26,14.99,PayPal,4.66,124,131.78,5,66.17,12,2769,32,15,107,29,Desktop,54,34,14.99,9,389.74,85.64,22.29,90.21,1
67,30,Male,India,1,35,14.99,Google Pay,2.94,194,25.81,6,47.99,15,3511,9,29,64,29,Mobile,2,44,14.99,13,524.65,75.21,17.31,90.7,0
68,21,Female,Canada,0,0,0.0,Free Plan,0.34,77,30.72,1,67.96,11,2234,36,28,197,6,Web Player,62,45,0.0,0,0.0,41.09,11.7,67.72,1
69,30,Female,Japan,1,4,14.99,PayPal,6.74,58,147.82,5,12.03,42,4321,56,25,240,25,Tablet,5,4,14.99,4,59.96,100.0,58.89,100.0,0
70,40,Male,Japan,1,42,14.99,Debit Card,4.03,149,41.17,3,22.44,46,3160,72,3,97,10,Mobile,55,2,14.99,8,629.58,99.75,78.02,100.0,0
71,51,Female,Japan,0,0,0.0,Free Plan,7.47,143,25.44,4,37.27,7,3972,47,25,36,27,Web Player,76,27,0.0,0,0.0,100.0,48.32,100.0,0
72,34,Female,France,1,29,14.99,Debit Card,4.66,44,164.33,3,86.45,32,1285,87,18,167,27,Mobile,58,47,14.99,8,434.71,83.8,17.36,80.08,0
73,42,Male,South Korea,0,0,0.0,Free Plan,5.65,192,42.27,3,96.13,30,4521,9,10,157,6,Tablet,81,35,0.0,0,0.0,100.0,62.16,80.19,0
74,30,Male,Brazil,0,0,0.0,Free Plan,0.86,159,235.58,1,11.58,33,4795,63,23,162,15,Desktop,82,29,0.0,0,0.0,81.15,55.18,98.51,0
75,58,Female,Canada,0,0,0.0,Free Plan,7.51,100,186.15,4,30.1,16,917,16,9,192,21,Desktop,81,49,0.0,0,0.0,100.0,59.47,100.0,1
76,46,Other,UK,1,12,14.99,Apple Pay,0.37,138,92.38,3,25.25,22,3609,97,13,225,28,Web Player,80,34,14.99,12,179.88,62.04,12.47,89.22,1
77,32,Other,Germany,1,47,9.99,PayPal,5.31,31,208.99,6,15.11,27,988,20,14,83,5,Tablet,56,4,9.99,2,469.53,80.63,68.6,100.0,0
78,55,Other,India,0,0,0.0,Free Plan,0.44,29,173.01,2,86.44,15,3610,71,27,144,28,Mobile,7,14,0.0,0,0.0,55.2,0.0,58.98,1
79,24,Other,Canada,1,3,9.99,Credit Card,0.21,21,147.72,4,43.03,37,1016,59,21,116,1,Web Player,71,10,9.99,12,29.97,36.56,22.15,79.53,0
80,38,Female,India,1,31,9.99,UPI,5.62,37,228.87,1,3.96,21,3762,87,8,75,24,Desktop,31,14,9.99,15,309.69,100.0,62.81,100.0,0
81,45,Male,South Korea,1,33,9.99,Credit Card,0.89,162,12.8,4,35.78,38,2241,37,6,89,13,Desktop,14,33,9.99,9,329.67,54.76,24.53,86.56,0
82,57,Other,UK,1,9,9.99,Credit Card,0.61,164,75.23,4,87.1,49,3389,83,29,110,26,Tablet,6,10,9.99,19,89.91,69.99,4.86,59.5,1
83,23,Female,Australia,1,3,14.99,Credit Card,1.48,18,24.18,6,59.33,11,2956,24,12,242,25,Tablet,54,45,14.99,3,44.97,61.96,6.66,77.74,1
84,46,Other,Canada,1,44,9.99,Google Pay,5.81,154,83.09,1,49.33,27,754,34,28,92,21,Tablet,78,32,9.99,6,439.56,83.74,37.44,100.0,0
85,47,Male,South Korea,1,20,4.99,PayPal,5.94,130,237.1,2,86.7,31,1273,97,3,65,14,Desktop,35,5,4.99,6,99.8,90.88,43.87,86.35,0
86,29,Other,India,1,15,4.99,UPI,6.25,104,218.62,7,63.25,13,1,36,4,40,29,Desktop,59,46,4.99,13,74.85,71.01,8.54,99.62,1
87,42,Female,Brazil,0,0,0.0,Free Plan,3.25,32,65.66,5,0.9,0,4555,55,3,286,10,Desktop,66,13,0.0,0,0.0,92.35,77.08,100.0,0
88,46,Female,Japan,1,20,14.99,PayPal,5.71,68,89.42,4,3.67,36,2734,75,4,119,11,Web Player,27,46,14.99,14,299.8,100.0,82.4,100.0,0
89,37,Female,India,0,0,0.0,Free Plan,2.0,30,14.25,7,22.47,36,3828,58,4,160,16,Tablet,77,11,0.0,0,0.0,84.28,53.54,98.77,0
90,41,Other,India,0,0,0.0,Free Plan,7.79,43,111.86,7,52.17,22,3923,22,29,233,27,Tablet,7,49,0.0,0,0.0,100.0,43.85,100.0,0
91,25,Male,Australia,1,22,14.99,Debit Card,5.36,123,226.98,2,1.75,17,3719,46,7,75,26,Web Player,88,45,14.99,3,329.78,100.0,60.47,100.0,0
92,36,Other,Canada,1,41,9.99,Google Pay,5.33,196,16.33,1,86.64,24,4783,12,8,244,12,Tablet,74,3,9.99,1,409.59,100.0,56.01,83.33,0
93,21,Female,UK,1,18,4.99,Credit Card,2.67,113,197.19,6,54.45,24,2772,14,0,75,25,Tablet,14,20,4.99,18,89.82,70.17,16.34,86.12,0
94,42,Male,USA,1,35,9.99,Debit Card,4.78,114,156.01,2,46.35,2,3865,71,15,116,28,Desktop,24,11,9.99,4,349.65,93.25,37.34,100.0,0
95,54,Other,Germany,1,23,9.99,Google Pay,5.8,127,127.49,5,19.58,15,1838,14,24,291,10,Tablet,14,3,9.99,20,229.77,98.43,77.56,100.0,0
96,36,Female,Germany,0,0,0.0,Free Plan,2.42,31,223.46,4,53.92,15,105,35,29,145,1,Mobile,76,3,0.0,0,0.0,40.0,22.32,85.14,1
97,47,Other,Brazil,1,10,14.99,Apple Pay,1.64,195,30.12,2,18.52,35,1475,6,21,171,23,Mobile,46,12,14.99,22,149.9,57.2,17.14,98.94,0
98,38,Female,Japan,1,15,9.99,Debit Card,3.01,174,216.51,1,23.69,36,4145,23,18,99,27,Tablet,73,24,9.99,17,149.85,94.5,46.89,100.0,0
99,27,Male,Brazil,1,47,4.99,UPI,6.98,165,55.93,1,17.84,36,2466,91,6,159,10,Desktop,72,13,4.99,12,234.53,100.0,79.65,100.0,0
100,42,Female,UK,1,18,14.99,Debit Card,3.54,171,175.26,3,99.13,45,3602,67,25,101,9,Web Player,38,44,14.99,13,269.82,98.97,55.73,68.14,0
101,54,Male,Germany,0,0,0.0,Free Plan,2.72,127,85.74,7,6.94,48,3713,59,4,26,20,Web Player,71,49,0.0,0,0.0,89.63,57.55,100.0,0
102,20,Female,Australia,0,0,0.0,Free Plan,3.15,106,136.08,2,44.64,7,661,43,25,35,4,Mobile,92,30,0.0,0,0.0,43.36,23.97,93.43,0
103,33,Female,Japan,1,12,4.99,PayPal,7.85,7,222.89,5,11.98,39,4725,4,19,247,11,Mobile,29,20,4.99,19,59.88,100.0,79.91,100.0,0
104,35,Other,USA,1,12,9.99,PayPal,5.73,146,32.65,7,26.31,1,2408,84,1,248,8,Mobile,74,2,9.99,19,119.88,94.28,74.39,100.0,0
105,43,Female,Brazil,0,0,0.0,Free Plan,6.33,147,238.16,5,39.1,11,560,41,5,81,12,Tablet,29,23,0.0,0,0.0,78.45,48.72,100.0,0
106,31,Female,UK,1,14,4.99,Apple Pay,0.38,95,168.31,2,95.73,17,4361,24,1,280,28,Desktop,32,35,4.99,13,69.86,69.91,0.0,54.03,0
107,33,Female,Germany,1,41,9.99,Credit Card,5.4,140,117.38,4,13.52,3,4223,95,27,140,13,Web Player,17,28,9.99,5,409.59,100.0,76.44,100.0,0
108,19,Other,UK,0,0,0.0,Free Plan,4.6,166,113.05,2,48.46,49,1950,55,14,82,8,Tablet,20,8,0.0,0,0.0,94.1,67.56,98.77,0
109,24,Male,Germany,1,40,4.99,Apple Pay,5.0,56,45.83,4,52.7,38,1508,62,29,255,28,Tablet,6,26,4.99,21,199.6,96.83,39.02,98.65,1
110,54,Male,Australia,1,2,9.99,UPI,3.46,83,141.8,7,13.71,38,900,64,12,212,25,Desktop,84,17,9.99,4,19.98,73.2,31.59,100.0,1
111,53,Male,UK,0,0,0.0,Free Plan,5.24,153,203.42,7,14.92,3,545,51,15,251,17,Web Player,98,40,0.0,0,0.0,71.9,41.92,100.0,0
112,46,Female,South Korea,1,13,4.99,Credit Card,1.0,124,79.12,1,80.89,47,1120,9,17,231,20,Web Player,74,33,4.99,7,64.87,56.25,1.98,64.56,1
113,25,Male,USA,0,0,0.0,Free Plan,4.24,73,178.3,1,44.33,7,4940,71,24,86,10,Mobile,50,23,0.0,0,0.0,99.6,71.3,99.04,0
114,34,Male,Germany,1,31,9.99,PayPal,2.93,147,226.44,3,18.52,42,2489,4,4,7,9,Desktop,95,47,9.99,16,309.69,75.54,56.48,100.0,0
115,57,Male,Japan,0,0,0.0,Free Plan,1.8,53,65.02,4,77.46,40,4312,61,17,265,20,Web Player,11,26,0.0,0,0.0,94.37,41.13,70.27,1
116,30,Male,India,0,0,0.0,Free Plan,2.84,172,145.65,1,37.22,13,3697,21,19,212,11,Web Player,50,45,0.0,0,0.0,82.47,54.8,95.59,0
117,38,Other,South Korea,1,39,4.99,PayPal,7.37,22,154.48,6,46.05,7,301,6,22,235,10,Web Player,85,21,4.99,10,194.61,91.96,63.14,100.0,0
118,45,Male,India,0,0,0.0,Free Plan,5.55,184,197.18,7,48.84,22,4183,43,12,277,10,Mobile,60,32,0.0,0,0.0,100.0,70.35,100.0,0
119,36,Other,Brazil,1,25,4.99,Debit Card,4.55,76,62.97,5,88.15,3,1855,97,10,9,20,Web Player,45,38,4.99,1,124.75,66.0,9.55,78.67,0
120,30,Male,Germany,1,42,9.99,Debit Card,0.48,18,181.14,5,36.79,10,3983,94,22,69,23,Tablet,57,3,9.99,14,419.58,53.08,7.54,84.01,0
121,37,Female,France,0,0,0.0,Free Plan,1.28,58,168.47,5,2.91,45,4283,56,12,19,16,Tablet,70,3,0.0,0,0.0,79.08,54.21,100.0,0
122,20,Male,South Korea,1,4,9.99,Debit Card,4.88,151,68.41,4,32.21,45,4501,23,12,75,29,Desktop,30,35,9.99,18,39.96,100.0,46.84,100.0,0
123,53,Female,Brazil,1,33,9.99,PayPal,0.69,51,239.61,4,29.94,32,2448,69,3,147,15,Tablet,90,14,9.99,5,329.67,54.73,23.25,88.48,1
124,28,Other,Japan,1,5,4.99,PayPal,3.03,54,43.84,3,2.42,44,2757,80,26,50,20,Tablet,41,34,4.99,13,24.95,82.37,51.64,100.0,0
125,22,Male,Canada,1,21,9.99,Apple Pay,5.71,94,23.94,7,90.39,34,4736,23,24,99,5,Mobile,53,45,9.99,11,209.79,100.0,65.38,83.36,0
126,48,Male,Germany,0,0,0.0,Free Plan,2.41,110,71.31,4,27.57,27,269,9,15,181,9,Mobile,76,5,0.0,0,0.0,49.34,27.57,98.27,0
127,53,Other,Germany,1,43,4.99,Apple Pay,4.35,165,186.39,6,89.98,17,671,74,19,142,15,Tablet,20,41,4.99,11,214.57,65.81,16.32,76.76,1
128,31,Male,Canada,1,18,4.99,UPI,5.86,169,137.85,3,30.87,20,4479,11,24,160,17,Mobile,67,41,4.99,6,89.82,100.0,65.24,100.0,0
129,50,Male,France,0,0,0.0,Free Plan,6.91,190,132.5,7,70.78,16,1633,69,13,197,1,Mobile,73,20,0.0,0,0.0,100.0,77.27,99.16,0
130,39,Male,India,0,0,0.0,Free Plan,6.92,183,157.98,6,29.06,46,4666,9,2,191,18,Tablet,48,31,0.0,0,0.0,100.0,64.28,100.0,0
131,37,Female,Germany,1,22,14.99,Apple Pay,5.35,120,209.59,3,94.66,39,2105,27,25,65,24,Web Player,2,7,14.99,11,329.78,97.3,32.9,79.42,1
132,52,Female,Brazil,1,25,14.99,Debit Card,0.93,55,50.97,4,52.33,23,2555,91,8,163,4,Mobile,71,8,14.99,14,374.75,54.5,32.8,78.49,0
133,57,Female,South Korea,1,6,9.99,UPI,3.03,31,70.07,6,14.07,0,612,31,27,175,10,Mobile,3,29,9.99,5,59.94,45.17,25.95,100.0,1
134,36,Male,Brazil,1,45,14.99,Apple Pay,5.41,17,80.91,4,88.19,30,1594,26,4,24,2,Mobile,67,24,14.99,19,674.55,86.24,56.78,82.95,0
135,22,Other,Japan,1,6,14.99,PayPal,2.65,143,216.8,4,45.93,20,1154,75,27,285,25,Web Player,20,27,14.99,23,89.94,62.29,11.01,90.28,0
136,50,Male,UK,0,0,0.0,Free Plan,2.91,179,49.95,3,65.11,47,895,21,16,107,10,Desktop,14,26,0.0,0,0.0,66.9,32.37,81.99,1
137,37,Male,India,0,0,0.0,Free Plan,5.55,160,165.19,6,85.57,0,3830,86,2,3,25,Mobile,46,37,0.0,0,0.0,93.95,30.78,84.97,1
138,38,Other,Japan,0,0,0.0,Free Plan,5.29,146,217.35,1,76.61,34,1787,76,14,209,18,Mobile,5,26,0.0,0,0.0,98.22,48.24,88.14,1
139,44,Female,France,0,0,0.0,Free Plan,1.97,76,35.28,3,97.68,13,595,24,7,269,25,Desktop,86,21,0.0,0,0.0,45.6,0.0,61.01,1
140,36,Female,UK,1,19,4.99,PayPal,0.34,75,151.02,1,30.48,18,2990,13,23,163,7,Mobile,29,8,4.99,0,94.81,50.45,30.81,86.46,0
141,42,Female,Canada,0,0,0.0,Free Plan,2.54,45,16.31,4,87.72,1,4008,54,15,61,16,Web Player,29,11,0.0,0,0.0,69.03,18.71,68.84,1
142,38,Other,Canada,0,0,0.0,Free Plan,6.68,199,119.77,5,9.39,8,1058,80,1,215,0,Web Player,44,22,0.0,0,0.0,92.13,89.31,100.0,0
143,29,Female,Japan,0,0,0.0,Free Plan,1.49,154,147.67,3,44.52,28,4274,3,22,27,3,Desktop,75,44,0.0,0,0.0,72.99,55.13,85.19,0
144,19,Female,Brazil,1,8,14.99,Google Pay,0.75,157,5.69,5,47.25,25,4378,7,18,92,12,Mobile,98,39,14.99,13,119.92,68.38,36.2,80.12,0
145,37,Male,Australia,1,8,14.99,PayPal,1.04,94,113.77,5,57.2,41,2429,8,23,36,16,Mobile,16,23,14.99,20,119.92,56.99,15.83,76.6,0
146,56,Other,Japan,0,0,0.0,Free Plan,5.47,151,110.89,7,27.47,0,3239,18,11,71,7,Mobile,11,47,0.0,0,0.0,90.64,71.9,100.0,0
147,43,Other,South Korea,1,25,14.99,Google Pay,0.6,179,18.99,7,87.16,17,4033,67,29,160,3,Desktop,18,46,14.99,7,374.75,62.83,32.18,59.42,1
148,50,Female,UK,0,0,0.0,Free Plan,7.55,195,156.83,2,36.19,10,1996,9,13,209,18,Desktop,72,38,0.0,0,0.0,100.0,62.14,100.0,1
149,37,Female,Canada,1,38,14.99,Google Pay,1.31,85,168.3,4,29.5,0,1998,89,4,212,29,Mobile,94,24,14.99,22,569.62,43.68,0.0,91.8,1
150,55,Male,Australia,1,36,14.99,Apple Pay,2.35,185,207.51,6,44.64,33,1823,66,2,155,11,Tablet,40,22,14.99,7,539.64,65.98,36.09,89.43,0
151,49,Female,Japan,0,0,0.0,Free Plan,3.27,156,93.02,4,43.05,3,1591,64,0,46,19,Tablet,28,9,0.0,0,0.0,52.41,10.99,94.82,1
152,45,Other,USA,0,0,0.0,Free Plan,6.81,140,90.68,4,58.02,37,4928,30,3,112,12,Desktop,68,29,0.0,0,0.0,100.0,64.59,100.0,0
153,20,Other,Germany,0,0,0.0,Free Plan,1.83,111,96.18,2,39.54,5,910,29,9,121,28,Mobile,41,36,0.0,0,0.0,35.95,0.0,89.38,0
154,23,Female,Japan,1,13,14.99,Google Pay,3.24,113,233.12,6,54.14,36,2352,12,1,41,1,Web Player,50,48,14.99,20,194.87,75.97,58.23,89.13,0
155,38,Other,Brazil,1,1,14.99,Apple Pay,3.66,115,196.94,4,40.18,16,3170,81,7,213,24,Web Player,18,36,14.99,6,14.99,86.95,38.9,98.21,0
156,45,Male,USA,1,19,14.99,UPI,7.29,15,88.06,7,87.0,20,3829,10,6,4,16,Web Player,19,40,14.99,13,284.81,100.0,49.9,92.95,0
157,23,Male,UK,1,44,9.99,Debit Card,4.03,79,52.76,7,38.65,10,4799,80,18,218,17,Web Player,50,46,9.99,14,439.56,100.0,62.91,100.0,0
158,52,Other,Japan,0,0,0.0,Free Plan,0.22,85,204.04,3,31.19,2,2490,68,12,188,22,Web Player,95,21,0.0,0,0.0,37.5,0.0,85.5,1
